Date,Location,Ticket Type,Group
2024-11-21,Goh Geok Kwee Agency - Redhill Lane - Block 84 Redhill Lane #01-356,1 QuickPick System 7 Entry,2
2024-11-21,Chong Hoe Tong - Block 21 Lorong 7 Toa Payoh #01-290,1 QuickPick Ordinary Entry,2
2024-11-21,Mee Lee Cheong Pte. Ltd. - Block 139 Tampines Street 11 #01-88,1 QuickPick Ordinary Entry,2
2024-11-21,Metro Woodlands - 1 Woodlands Square #01-18/19 Causeway Point,1 QuickPick Ordinary Entry,2
2024-11-21,NTUC FairPrice Tampines Mall - 4 Tampines Central 5 #B1-12 Tampines Mall,1 System 7 Entry,2
2024-11-21,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
2024-11-18,Livewire Marina Bay Sands - 2 Bayfront Avenue #01-01 Marina Bay Sands,1 QuickPick System 8 Entry,1
2024-11-18,NTUC FairPrice White Sands - 1 Pasir Ris Central Street 3 #B1-10 White Sands,1 QuickPick System 7 Entry,1
2024-11-18,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-11-18,Singapore Pools Bukit Gombak Branch - Block 374 Bukit Batok Street 31 #01-170,1 System Roll Entry,2
2024-11-14,NTUC FairPrice Jem - 50 Jurong Gateway Road #B1-21/22 Jem,1 QuickPick System 8 Entry,1
2024-11-14,Singapore Pools Account Betting Service - -,1 QuickPick System 8 Entry,1
2024-11-14,NTUC FairPrice NEX - 23 Serangoon Central #03-42 NEX,1 QuickPick System 7 Entry,1
2024-11-14,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 QuickPick System 7 Entry,1
2024-11-14,NTUC FairPrice Clementi Avenue 3 - Block 451 Clementi Avenue 3 #01-307,1 QuickPick System 8 Entry,2
2024-11-14,Livewire Marina Bay Sands - 2 Bayfront Avenue #01-01 Marina Bay Sands,1 QuickPick System 7 Entry,2
2024-11-14,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-11-14,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-11-14,Singapore Pools Tampines N4 Branch - Block 481 Tampines Street 44 #01-277,1 QuickPick System 7 Entry,2
2024-11-14,Cheers Northshore Plaza II - 418 Northshore Drive #02-05/06 Northshore Plaza II,1 QuickPick Ordinary Entry,2
2024-11-14,Giant Beauty World Centre - 144 Upper Bukit Timah Road #B1-01 Beauty World Centre,1 QuickPick Ordinary Entry,2
2024-11-14,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
2024-11-14,Singapore Pools Funan Branch - 107 North Bridge Road #B1-02 Funan,1 QuickPick Ordinary Entry,2
2024-11-14,Singapore Pools People's Park Centre (Chinatown) Branch - 101 Upper Cross Street #01-12 People's Park Centre,1 QuickPick Ordinary Entry,2
2024-11-14,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
2024-11-14,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
2024-11-14,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
2024-11-11,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,2
2024-11-11,Singapore Pools Lucky Plaza Branch - 304 Orchard Road #B1-91/92 Lucky Plaza,1 QuickPick Ordinary Entry,2
2024-11-11,iTOTO - System 1,iTOTO - System 12,2
2024-11-07,Rangoon Provision Shop - Block 681 Race Course Road #01-309,1 QuickPick System 7 Entry,2
2024-11-07,Singapore Pools Account Betting Service - -,1 System 12 Entry,2
2024-11-04,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-11-04,Singapore Pools Holland Drive Branch - Block 46 Holland Drive #01-371/373,1 QuickPick System 7 Entry,2
2024-11-04,Singapore Pools Whampoa Drive Branch - Block 88 Whampoa Drive #01-857,1 QuickPick System 7 Entry,2
2024-11-04,NTUC FairPrice Lot 1 Shoppers' Mall - 21 Choa Chu Kang Avenue 4 #B1-03 Lot 1 Shoppers' Mall,1 QuickPick Ordinary Entry,2
2024-10-31,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,1
2024-10-31,Singapore Pools Teck Whye Branch - Block 141 Teck Whye Lane #01-271,1 QuickPick System 7 Entry,2
2024-10-28,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,1
2024-10-28,Premier Security Co-operative Ltd  - Block 555 Ang Mo Kio Avenue 10 #01-1966,1 QuickPick System 8 Entry,2
2024-10-28,Singapore Pools Account Betting Service - -,1 QuickPick System 8 Entry,2
2024-10-24,Singapore Pools Lucky Plaza Branch - 304 Orchard Road #B1-91/92 Lucky Plaza,1 QuickPick System 7 Entry,2
2024-10-24,NTUC FairPrice Bedok North Street 4 - Block 89 Bedok North Street 4 #01-77/79,1 Ordinary Entry,2
2024-10-21,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 System 8 Entry,1
2024-10-21,Singapore Pools Account Betting Service - -,1 System 7 Entry,1
2024-10-21,Chua Hong Kim Trading  - Block 237 Serangoon Avenue 3 #01-108,1 QuickPick System Roll Entry,2
2024-10-21,Singapore Pools Account Betting Service - -,1 QuickPick System 9 Entry,2
2024-10-21,Sheng Siong Clementi Avenue 6 - Block 209A Clementi Avenue 6 #01-01,1 QuickPick System 7 Entry,2
2024-10-21,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-10-21,Singapore Pools Holland Drive Branch - Block 46 Holland Drive #01-371/373,1 QuickPick System 7 Entry,2
2024-10-21,Singapore Pools Teck Whye Branch - Block 141 Teck Whye Lane #01-271,1 QuickPick System 7 Entry,2
2024-10-21,Evercool Engineering - Block 95 Lorong 4 Toa Payoh #01-50,1 QuickPick Ordinary Entry,2
2024-10-21,NTUC FairPrice Serangoon North Avenue 1 - Block 152B Serangoon North Avenue 1 #01-384,1 QuickPick Ordinary Entry,2
2024-10-21,Singapore Pools Bukit Gombak Branch - Block 374 Bukit Batok Street 31 #01-170,1 QuickPick Ordinary Entry,2
2024-10-21,Singapore Pools Pasir Ris N2 Branch - 259 Pasir Ris Street 21 #02-29 Loyang Point,1 QuickPick Ordinary Entry,2
2024-10-21,Tay Sui Lan Agency - 11 Collyer Quay #02-13 The Arcade,1 QuickPick Ordinary Entry,2
2024-10-21,Nel's Store - Block 741 Bedok Reservoir Road #01-3073,1 System 12 Entry,2
2024-10-21,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-10-21,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-10-21,Clifford Gift Shop - Block 532 Ang Mo Kio Avenue 10 #01-2459,1 System 7 Entry,2
2024-10-21,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
2024-10-21,Tan Wee Fong Trading - Block 24 Bendemeer Road #01-529,1 System 7 Entry,2
2024-10-21,NTUC FairPrice Senja Road - 628 Senja Road #01-01 Senja Grand,1 Ordinary Entry,2
2024-10-21,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
2024-10-21,iTOTO - System 1,iTOTO - System 12,2
2024-10-21,iTOTO - System 1,iTOTO - System 12,2
2024-10-17,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-10-17,NTUC FairPrice Tampines Mall - 4 Tampines Central 5 #B1-12 Tampines Mall,1 QuickPick Ordinary Entry,2
2024-10-17,Singapore Pools Account Betting Service - -,1 Ordinary Entry,2
2024-10-17,iTOTO - System 1,iTOTO - System 12,2
2024-10-14,Ng Nam Thye Trading - Taman Jurong - 399 Yung Sheng Road #01-07 Taman Jurong Shopping Centre,1 QuickPick System 7 Entry,2
2024-10-14,Singapore Pools Account Betting Service - -,1 System 7 Entry,2
2024-10-10,Singapore Pools Pasir Ris N2 Branch - 259 Pasir Ris Street 21 #02-29 Loyang Point,1 QuickPick Ordinary Entry,2
2024-10-07,Singapore Pools Account Betting Service - -,1 QuickPick Ordinary Entry,1
2024-10-07,NTUC FairPrice The Woodleigh Mall - 11 Bidadari Park Drive #B1-32/33 The Woodleigh Mall,1 QuickPick System 7 Entry,2
2024-10-07,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-10-07,NTUC FairPrice AMK Hub - 53 Ang Mo Kio Avenue 3 #B2-40 AMK Hub,1 QuickPick Ordinary Entry,2
2024-10-07,PFG Framing & Trading - Block 960 Jurong West Street 92 #01-182,1 QuickPick Ordinary Entry,2
2024-10-07,Singapore Pools Hougang N1 Branch - Block 106 Hougang Avenue 1 #01-1209/1211,1 Ordinary Entry,2
2024-10-07,Singapore Pools Teck Whye Branch - Block 141 Teck Whye Lane #01-271,1 Ordinary Entry,2
2024-09-30,Overseas Emporium (Private) Limited - 1 Park Road #02-70 People's Park Complex,1 Ordinary Entry,1
2024-09-30,NTUC FairPrice Tampines Street 83 - 866A Tampines Street 83 #01-K1 Tampines Central Community Complex,1 QuickPick System 8 Entry,2
2024-09-30,Sheng Siong Marsiling Mall  - Block 4 Woodlands Street 12 #02-61,1 QuickPick Ordinary Entry,2
2024-09-30,PFG Framing & Trading - Block 960 Jurong West Street 92 #01-182,1 System 7 Entry,2
2024-09-30,iTOTO - System 1,iTOTO - System 12,2
2024-09-26,Jake Merchandise Associates - Block 503 Tampines Central 1 #01-283,1 QuickPick System 7 Entry,2
2024-09-26,Laura's Gifts - Block 442 Pasir Ris Drive 6 #01-42,1 QuickPick System 7 Entry,2
2024-09-26,Singapore Pools Account Betting Service - -,1 System 8 Entry,2
2024-09-23,Singapore Pools Account Betting Service - -,1 QuickPick System 7 Entry,2
2024-09-23,7-Eleven Store Eunos Crescent - Block 1A Eunos Crescent #01-2469/2471,1 QuickPick Ordinary Entry,2
2024-09-19,Cheng Chew Wah Agency - Marine Terrace - Block 58 Marine Terrace #01-47,1 System 10 Entry,1
2024-09-19,Kis Store - 3 Pickering Street #01-49 Nankin Row,1 System 10 Entry,1
2024-09-19,Singapore Pools Account Betting Service - -,1 System 8 Entry,1
2024-09-19,Singapore Pools Yishun N2 Branch - Block 256 Yishun Ring Road #01-1001,1 System 7 Entry,1
2024-09-19,Kis Store - 3 Pickering Street #01-49 Nankin Row,1 System 10 Entry,2
2024-09-19,NTUC FairPrice Bukit Merah Central - Block 166 Bukit Merah Central #02-3531,1 System 10 Entry,2
2024-09-19,NTUC FairPrice Parkway Parade - 80 Marine Parade Road #03-28 Parkway Parade,1 System 9 Entry,2
2024-09-19,Tong Aik Huat - Block 685 Hougang Street 61 #01-160,1 System 9 Entry,2
2024-09-19,Fatt Chye Heng Trading - Block 7 Hougang Avenue 3 #01-48,1 System 8 Entry,2
2024-09-19,Jake Merchandise Associates - Block 503 Tampines Central 1 #01-283,1 System 8 Entry,2
2024-09-19,Ng Nam Thye Trading - Ang Mo Kio Avenue 3 - 51 Ang Mo Kio Avenue 3 #01-01B 51@AMK,1 System 8 Entry,2
